,question,proc_ques,tokens,words,stops
0,What is the best marketing automation tool for small and mid-size companies?,what is the best marketing automation tool for small and mid size companies,"['What', 'is', 'the', 'best', 'marketing', 'automation', 'tool', 'for', 'small', 'and', 'mid-size', 'companies?']","{'marketing', 'small', 'automation', 'What', 'best', 'tool', 'mid-size', 'companies?'}","{'for', 'and', 'is', 'the'}"
1,What is the best marketing automation tool for small and mid-sized companies?,what is the best marketing automation tool for small and mid sized companies,"['What', 'is', 'the', 'best', 'marketing', 'automation', 'tool', 'for', 'small', 'and', 'mid-sized', 'companies?']","{'marketing', 'small', 'mid-sized', 'automation', 'What', 'best', 'tool', 'companies?'}","{'for', 'and', 'is', 'the'}"
2,I am poor but I want to invest. What should I do?,i am poor but i want to invest  what should i do,"['I', 'am', 'poor', 'but', 'I', 'want', 'to', 'invest.', 'What', 'should', 'I', 'do?']","{'invest.', 'poor', 'What', 'do?', 'I', 'want'}","{'to', 'am', 'should', 'but'}"
3,I am quite poor and I want to be very rich. What do I do?,i am quite poor and i want to be very rich  what do i do,"['I', 'am', 'quite', 'poor', 'and', 'I', 'want', 'to', 'be', 'very', 'rich.', 'What', 'do', 'I', 'do?']","{'poor', 'rich.', 'What', 'do?', 'quite', 'I', 'want'}","{'be', 'very', 'to', 'do', 'and', 'am'}"
4,I am from India and live abroad. I met a guy from France in a party.I want to date him. How do I do that?,i am from india and live abroad  i met a guy from france in a party i want to date him  how do i do that,"['I', 'am', 'from', 'India', 'and', 'live', 'abroad.', 'I', 'met', 'a', 'guy', 'from', 'France', 'in', 'a', 'party.I', 'want', 'to', 'date', 'him.', 'How', 'do', 'I', 'do', 'that?']","{'abroad.', 'party.I', 'met', 'want', 'live', 'How', 'guy', 'him.', 'that?', 'date', 'India', 'I', 'France'}","{'to', 'do', 'a', 'and', 'in', 'from', 'am'}"
5,T.I.E.T to Thapar University to Thapar University Institute of Engineering and Technology. Can anyone explain this shit?,t i e t to thapar university to thapar university institute of engineering and technology  can anyone explain this shit,"['T.I.E.T', 'to', 'Thapar', 'University', 'to', 'Thapar', 'University', 'Institute', 'of', 'Engineering', 'and', 'Technology.', 'Can', 'anyone', 'explain', 'this', 'shit?']","{'anyone', 'Engineering', 'T.I.E.T', 'Institute', 'Technology.', 'explain', 'shit?', 'Thapar', 'University', 'Can'}","{'of', 'and', 'this', 'to'}"
6,Why do so many people in the U.S. hate the southern states?,why do so many people in the u s  hate the southern states,"['Why', 'do', 'so', 'many', 'people', 'in', 'the', 'U.S.', 'hate', 'the', 'southern', 'states?']","{'Why', 'states?', 'U.S.', 'many', 'hate', 'southern', 'people'}","{'in', 'so', 'do', 'the'}"
7,My boyfriend doesnt feel guilty when he hurts me. He cried when he was telling me how he killed a cat when he was young. Could he be a psychopath?,my boyfriend doesnt feel guilty when he hurts me  he cried when he was telling me how he killed a cat when he was young  could he be a psychopath,"['My', 'boyfriend', 'doesnt', 'feel', 'guilty', 'when', 'he', 'hurts', 'me.', 'He', 'cried', 'when', 'he', 'was', 'telling', 'me', 'how', 'he', 'killed', 'a', 'cat', 'when', 'he', 'was', 'young.', 'Could', 'he', 'be', 'a', 'psychopath?']","{'me.', 'Could', 'killed', 'My', 'hurts', 'psychopath?', 'telling', 'He', 'feel', 'guilty', 'boyfriend', 'young.', 'doesnt', 'cat', 'cried'}","{'be', 'when', 'was', 'a', 'how', 'he', 'me'}"
8,Consequences of Bhopal gas tragedy?,consequences of bhopal gas tragedy,"['Consequences', 'of', 'Bhopal', 'gas', 'tragedy?']","{'tragedy?', 'gas', 'Consequences', 'Bhopal'}",{'of'}
9,What was the reason behind the Bhopal gas tragedy?,what was the reason behind the bhopal gas tragedy,"['What', 'was', 'the', 'reason', 'behind', 'the', 'Bhopal', 'gas', 'tragedy?']","{'reason', 'behind', 'gas', 'What', 'tragedy?', 'Bhopal'}","{'was', 'the'}"
